,Table,Treat,Cv,Stem,Days_to_Term,Term_for_Bc_,flw,jar,pretreat,post,open,Bc_F,Bc_L,Day,Bc_F_per,tf_BC_F,Day2,Day3,Day4,Day5,Bc_F.per,Bc_F.logit.per
35,1,3,D,2,2,1,8,3,3,1,2,6,0,1,0.38,-0.489548225,1,1,1,1,38,-0.489548225
36,1,3,D,2,2,1,8,3,3,1,2,8,0,2,0.88,1.992430165,4,8,16,32,88,1.992430165
37,1,3,D,3,3,0,9,3,3,1,1,3,0,1,0.035,-3.31678004,1,1,1,1,3.5,-3.31678004
38,1,3,D,3,3,0,9,3,3,1,1,4,0,2,0.09,-2.313634929,4,8,16,32,9,-2.313634929
39,1,3,D,3,3,0,9,3,3,1,2,6,1,3,0.38,-0.489548225,9,27,81,243,38,-0.489548225
40,1,4,F,1,12,0,10,4,4,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
41,1,4,F,1,12,0,10,4,4,1,1,1,0,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
42,1,4,F,1,12,0,10,4,4,1,1,2,0,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
43,1,4,F,1,12,0,10,4,4,1,1,4,0,4,0.09,-2.313634929,16,64,256,1024,9,-2.313634929
44,1,4,F,1,12,0,10,4,4,1,2,4,0,5,0.005,-5.293304825,25,125,625,3125,9,-2.313634929
45,1,4,F,1,12,0,10,4,4,1,2,4,0,6,0.035,-3.31678004,36,216,1296,7776,9,-2.313634929
46,1,4,F,1,12,0,10,4,4,1,2,4,0,7,0.035,-3.31678004,49,343,2401,16807,9,-2.313634929
47,1,4,F,1,12,0,10,4,4,1,2,4,0,8,0.035,-3.31678004,64,512,4096,32768,9,-2.313634929
48,1,4,F,1,12,0,10,4,4,1,2,4,0,9,0.035,-3.31678004,81,729,6561,59049,9,-2.313634929
49,1,4,F,1,12,0,10,4,4,1,2,4,0,10,0.035,-3.31678004,100,1000,10000,1.00E+05,9,-2.313634929
50,1,4,F,1,12,0,10,4,4,1,2,4,0,11,0.09,-2.313634929,121,1331,14641,161051,9,-2.313634929
51,1,4,F,1,12,0,10,4,4,1,2,4,0,12,0.09,-2.313634929,144,1728,20736,248832,9,-2.313634929
52,1,4,F,2,13,1,11,4,4,1,2,1,1,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
53,1,4,F,2,13,1,11,4,4,1,2,1,1,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
54,1,4,F,2,13,1,11,4,4,1,2,1,1,3,0.005,-5.293304825,9,27,81,243,0.5,-5.293304825
55,1,4,F,2,13,1,11,4,4,1,2,1,1,4,0.005,-5.293304825,16,64,256,1024,0.5,-5.293304825
56,1,4,F,2,13,1,11,4,4,1,2,1,0,5,0.005,-5.293304825,25,125,625,3125,0.5,-5.293304825
57,1,4,F,2,13,1,11,4,4,1,2,1,0,6,0.005,-5.293304825,36,216,1296,7776,0.5,-5.293304825
58,1,4,F,2,13,1,11,4,4,1,2,3,0,7,0.035,-3.31678004,49,343,2401,16807,3.5,-3.31678004
59,1,4,F,2,13,1,11,4,4,1,2,3,0,8,0.035,-3.31678004,64,512,4096,32768,3.5,-3.31678004
60,1,4,F,2,13,1,11,4,4,1,2,4,0,9,0.09,-2.313634929,81,729,6561,59049,9,-2.313634929
61,1,4,F,2,13,1,11,4,4,1,2,5,0,10,0.14,-1.815289967,100,1000,10000,1.00E+05,14,-1.815289967
62,1,4,F,2,13,1,11,4,4,1,2,6,0,11,0.38,-0.489548225,121,1331,14641,161051,38,-0.489548225
